Number,year,New_Price,value,diff,Kilometers_Driven
4863,2001,4.55,0.7,3.85,140000
5569,2004,33.51,3,30.51,135000
351,2005,28.37,2.05,26.32,100000
2119,2007,8.12,6,2.12,1261
261,2008,14.07,2.6,11.47,143275
1313,2008,10.73,1.9,8.83,121097
1369,2008,14.07,2.5,11.57,96578
4973,2008,15.59,2.9,12.69,109606
2827,2009,69.59,17.98,51.61,58000
2866,2009,43.31,9.92,33.39,103905
4022,2009,22.66,4.95,17.71,32000
1455,2010,19.39,4.5,14.89,93000
1743,2010,4.74,2.75,1.99,21002
2200,2010,5.61,1.75,3.86,38000
2242,2010,37.51,13.7,23.81,110000
2277,2010,37.46,10.75,26.71,140000
2495,2010,33.36,3.75,29.61,62004
2749,2010,5.04,2.35,2.69,37822
3002,2010,6.99,2.8,4.19,68000
3417,2010,47.87,9.25,38.62,67000
3697,2010,63.71,16.5,47.21,46000
3735,2010,47.2,14.2,33,80000
4408,2010,5.04,2.45,2.59,12000
5175,2010,79.78,11.75,68.03,58000
5393,2010,6.8,2.25,4.55,45252
5470,2010,48.79,11.5,37.29,58000
5959,2010,20.46,4,16.46,109703
2,2011,8.61,4.5,4.11,46000
237,2011,11.74,3.87,7.87,32572
654,2011,4.7,2.75,1.95,64357
884,2011,7.3,2.7,4.6,46687
1680,2011,4.7,3.22,1.48,48624
1855,2011,43.31,10.9,32.41,100000
2088,2011,11.85,4,7.85,67031
2313,2011,11.3,3.25,8.05,47000
2438,2011,9.14,4,5.14,110000
2447,2011,4.7,3.19,1.51,46808
2678,2011,5.04,3.36,1.68,15466
2692,2011,43.81,10.3,33.51,70000
2746,2011,4.69,2.25,2.44,45000
3430,2011,6.51,3.75,2.76,42000
3640,2011,36.69,10.64,26.05,169006
3820,2011,4.5,2.15,2.35,28300
4541,2011,47.87,10.5,37.37,51000
4551,2011,63.71,17.27,46.44,51602
4734,2011,14.32,2.9,11.42,121311
4778,2011,171,30,141,47140
4841,2011,47.2,13.95,33.25,89000
5127,2011,8.73,2.65,6.08,44000
6002,2011,11.91,3.25,8.66,38000
47,2012,18.64,10.95,7.69,70704
314,2012,6.62,3.13,3.49,91931
518,2012,4.74,3.3,1.44,30000
573,2012,11.15,6,5.15,105000
912,2012,4.98,3.61,1.37,56661
984,2012,70.43,17.5,52.93,61240
1096,2012,12.79,7.25,5.54,97000
1195,2012,54.7,14,40.7,65000
1230,2012,19.27,6.5,12.77,52000
1303,2012,71.82,24.68,47.14,44450
1663,2012,4.59,2.74,1.85,45631
1826,2012,21.69,6.22,15.47,83184
1990,2012,8.94,4.25,4.69,74000
2041,2012,10.32,4.3,6.02,75000
2260,2012,63.71,17.5,46.21,95000
2364,2012,44.28,22,22.28,17000
2443,2012,9.96,3.6,6.36,68038
2914,2012,19.27,6.5,12.77,52100
3173,2012,7.91,2.25,5.66,150000
3199,2012,166,26.5,139.5,41100
3226,2012,9.48,2.5,6.98,93450
3845,2012,11.67,5.77,5.9,32542
3852,2012,47.87,11.5,36.37,55598
